"tweet","sentiment"
"OK Mom, lol,   RT  @mention Go outside! Summer weather",3
"RT @mention: butttt uhmm .. yeahh .. its hot as fck outside",1
"@mention old news. we've been under a thunderstorm watch since 2 o'clock or so ;)",2
"i wake up... and i feel like im outside.. ITS 2 DAMN HOT!",1
"Soaking up the vegas rays #sunshine",3
"RT @mention: Your forecast today: Clouds & drizzle this morning, then some sunny breaks, especially inland. A few scattered a... {link} ...",2
"#WEATHER:  10:52 pm: 64.0F. Feels F. 29.85% Humidity. 8.1MPH East Wind.",2
"@mention poor bob haha xD aww that's so sweet! haha it's getting sunny here, and i'm so happy lol",3
"@mention Thanks! Sure hope I can get back next year, nice show other than ther weather.",1
"Is not liking this weather! & I feel my feet swelling up....",1
"Its hot out today boi an I aint stepped outside yet damn",1
"Learning knots @ Seattle Sailing Club :) gonna apply them later, hoping for some more sunshine",3
"RT @mention: Great day for hockey 90 degrees outside",3
"@mention Glad you had a sunny fun day. Happy for Rosita. I'll go shopping in the sun too. Elena bought bagels & cream cheese. Love Jeanne",3
"T-Storm Watch for parts of South Central Texas until 8pm. This includes San Antonio up towards Austin/Dallas: {link}",2
"Can't wait drive home from work on another sunny, sunglasses on, sunroof open, windows rolled down day!!",3
"RT @mention: Yesterday it was hot as fuck Today it's cold as fuck, Tomorrow im saying fuck Chicago and this bipolar ass weather",1
"RT @mention: Praying that the outcome of OK's tornados don't match the caliber of Joplin's... RT @mention {link} ...",2
"WEATHER: Tonight: Rain clearing by midnight. Clear skies to end the night. Lows of 7C",2
"Sitting on the back porch, enjoying this clean morning air with a hint of sunshine#offday",3
"@mention Summers can hit 80 to 90, but it's largely 70s. Sunny days are deeply appreciated due to their uncommon occurence.",2
"Man this weather is murderous!",1
"All I wanna do is finish my #OTH episode but the storm isn't allowing me to do so",1
"Fitting myself for my journey tomorrow, which I fear will not be pleasant because of the wet weather, it thunderstorming hard next two days.",1
"i hate this weather cold in the AM then blazin hot",1
"I love thunder storms... Now i just need my best friend and love of my life to snuggle with....",3
"Only ONE MORE HOUR and then I get to go for a run in the gorgeous sunny Portland weather. #itsnotalwaysrainyinportland",3
"Loving the sunny weather today :)",3
"RT @mention: Strong T-storm Threat Sunday {link} #WISN12",2
"Deadly tornado and freezing temperatures {link}",2
"Spending my first night of Summer 2k11 bedridden, but at least there's a rollicking thunderstorm to compliment the mood. #Bummer2k11",2
"High of 73 and sunny today, what's everyone going to do to enjoy the weather? #brunch ? #ilovesaturday",3
"#WEATHER:  8:54 am : 47.0F. Feels 41F. 29.86% Humidity. 15.0MPH North Wind.",2
"Statesville, NC Weather - 4:00 PM- Fair Skies, Temp: 82.6, Wind: 4.6, Rain Today: 0.00",2
"Listening to Lupe and driving in this awesome weather, gonna be a good day",3
"May 13: put my winter clothes away. May 16: got them out again.  #weather",1
"Another rainy day.  When did I  move to Seattle?",1
"Morning tweeps. Enjoy ur day 2day w/this beautiful weather. #thankingHimforyetanotherone",3
"Iowa weather jus so freakin weird. I c y there is no1 here durin d summer.",1
"Severe weather forecast for Hampton Roads {link} #hrva",2
"vegas weather today is pretty good.. #ihatethehotweather",3
"mmmmmk i just wanna go outside and enjoy the nice weather instead of being in the shithole everyday -_-",3
"it may not be all that warm out, but it sure is humid.... blech...",1
"NY weather is better than spring. It's downright summer-like today. Beautiful.",3
"Warm weather..... awesome...!",3
"We drove through some nasty snow on WY 487. This is a bit of the aftermath. #wyoweather #snowinmaysucks {link}",1
"@mention should be great weather. Enjoy Seaworld. Role tide",3
"@mention just hope summer shape up quick and this damn weather",1
"It's fucking cold out. I need to do laundry. Grrr",1
"today's weather made me wanna pull out my snowboots in the middle of MAY.. smmfh!",1
"#WEATHER: 7:55 am E: 63.0F. Feels F. 29.93% Humidity. 0.0MPH North Wind.",2
"RT @mention: Severe Thunderstorm Warning for Greenbrier, Monroe, and Summers County in WV until 7:00pm EDT. #wvwx",2
"The nation's weather      (AP): AP - A mix of weather is expected Sunday as some areas of the country see rain ... {link}",2
"@mention Haha, welcome to Ohio weather! As a native...I sort of love it :)",3
"Rainy day!! kinda nice tho :)",3
"GM... {link}... Miami Beach, FL...11:03a... 81 degrees",2
"RT @mention: Severe Thunderstorm Watch for Chariton, Howard, Macon, Randolph and Saline County until 11:00pm CDT.",2
"@mention Enjoyed the warm weather to and fro. Not the best superhero pic ever, but still fun.",3
"I'm scared of #rain now :/ hope it never storms again.getatme",1
"#WEATHER:  8:53 pm : 52.0F. Feels 47F. 29.90% Humidity. 13.8MPH South Wind.",2
"RT @mention: It's beautiful outside, nice and warm :)",3
"It's a perfect sunny day in Eastern Kentucky #nothingbetter",3
"The blooms are finally coming out for spring. Hope this means the snow showers are over! #Spokane is beautiful, especially along the river.",3
"#WEATHER:  12:53 pm: 53.0F. Feels 49F. 29.94% Humidity. 13.8MPH North Wind.",2
"i feel so sick. losing the battle against the weather and sinuses. #grumpy",1
"It sure is a great day with this lovely weather, why not add to it by eating some  St. Julien  Macaroons? We're... {link}",3
"Tired of this cold and rainy weather",1
"Updated: KXOJ Area Weather {link}",2
"RT @mention: /@mention: Storm #damage in #loc Greensburg, IN. #INwx {link} {link} {link} ...",2
"RT @mention: How can the weather be hot as hell one day and cold as hell another?/ I guess hell has seasons.",1
"70.9F (Feels: 70.9F) - Humidity: 99% - Wind: 0.7mph SE - Gust: 3.1mph - Pressure: 1010.0mb (-0.2)  #weather {link}",2
"Dear #Minnesota, stop with the bipolar weather already. I had enough of it.",1
